""
"Как пациент, я хочу получить назначение на обследование на почту, чтобы не потерять бумажную выписку.","Примечание Тело письма необходимо согласовать с копирайтерами и юристами.   Критерии приемки: Назначенное обследование приходит на почту.Обследование приходит в течении 5 минут после назначения.Назначение приходит в формате PDF  Сценарий: Назначение на обследование приходит на почту. Дано пациенту необходимо обследование Когда врач назначил обследование Тогда назначение отправлено пациенту на почту   Сценарий: Обследование приходит в течении 5 минут после назначения. Когда врач назначил обследование Тогда назначение приходит пациенту на почту в течении 5 минут   Структура сценария: Назначение приходит в формате PDF Когда врач назначил обследование Тогда назначение приходит пациенту на почту в формате PDF И название файла ""Назначил <специализация врача> от <время назначения> <дата назначения>"" И  тема письма ""Назначение на обследование. <специализация врача>"" И тело письма  ""Здравствуйте! Направляем Вам назначение на обследование. Для прохождения обследования вы можете позвонить в нашу клинику"" Примеры: |специализация врача|время назначения|дата назначения| |Терапевт|15:30|13.02.2022| |Хирург|18:00|20.05.2022|   |специализация| |Хирург|   Ссылка на прототипы: https://www.figma.com/file/P6P8jbE9WRADmnqX9H6Wz6/Рабочий-файл-с-прототипами?node-id=0%3A1&t=4orURpGP9SFmRF5q-1","","","","",""
"Как пациент, я хочу видеть расписания процедурного кабинета в приложении, чтобы не звонить в клинику.","Критерии приемки: Показано расписание процедурного кабинета Можно посмотреть расписание на конкретную дату  Сценарий: показано расписание процедурного кабинета Дано пациента направили на сдачу анализов Когда пациент хочет узнать расписание процедурного кабинета  Тогда показано расписание процедурного кабинета в приложении   Структура сценария: можно посмотреть расписание процедурного кабинета на конкретную дату Когда пациент хочет выбрать необходимый день для сдачи анализов  Тогда показано расписание на необходимую <дата>   Пример:  |День недели|Дата|Часы работы| |Пн|20.02.2023|7:00-12:00| |Чт|23.02.2023|Выходной|","","","","",""
"Как пользователь, я хочу получать уведомление в приложении о готовности результатов анализов, чтобы не проверять эти данные самостоятельно.","Критерии приемки Приложение показывает уведомление о готовности анализовPush-уведомления о готовности анализов  Сценарий: Приложение показывает уведомление о готовности анализов  Дано пациенту в медицинской карте прикреплен результат анализов Когда у пациента скачено мобильное приложение клиники Тогда пациенту приходит уведомление   Сценарий: Push-уведомления о готовности анализов  Когда у пациента скачено мобильное приложение клиники И пациент разрешил приложению отправлять push-уведомления Тогда пациенту приходят push-уведомления о готовности анализов","","","","",""
"Как пациент, я хочу просматривать результаты анализов в приложении, чтобы информация о здоровье находилась в одном месте.","Примечание Не все результаты анализов можно просматривать в приложении.    Критерии приемки: Можно выбрать необходимый анализ для получения результатаМожно посмотреть результат анализа в формате pdf  Сценарий: выбрать анализ для получения результата Дано пациент сдал анализы и по ним есть результаты  Когда пациент хочет посмотреть результаты анализов Тогда выбран необходимый анализ   Сценарий: скачать результат анализа в формате pdf Дано пациент выбрал необходимый анализ  Когда пациент хочет посмотреть результат конкретного анализа  Тогда в приложении можно посмотреть результат анализа в формате pdf.","","","","",""
"Как пациент, я хочу получать назначения на медикаментозное лечение на почту, чтобы не потерять название нужных лекарств","Примечание Назначения на рецептурные препараты нельзя получать по почте.   Критерии приемки: Назначенное медикаментозное лечение приходит на почту.План лечения приходит в течении 5 минут после назначения.Назначение приходит в формате PDF  Сценарий: Назначенное медикаментозное лечение приходит на почту. Дано пациенту необходимо медикаментозное лечение  Когда врач назначил медикаментозное лечение  И данное назначение не содержит рецептурных препаратов Тогда назначение отправлено пациенту на почту   Сценарий: План лечения приходит в течении 5 минут после назначения. Когда врач назначил медикаментозное лечение И данное назначение не содержит рецептурных Тогда назначение приходит пациенту на почту в течении 5 минут   Структура сценария: Назначение приходит в формате PDF Когда врач назначил медикаментозное лечение Тогда назначение приходит пациенту на почту в формате PDF И название файла ""Назначил <специализация врача> от <время назначения> <дата назначения>"" И  тема письма ""Медикаментозное лечение. <специализация>"" И тело письма ""Здравствуйте! Направляем Вам назначение на медикаментозное лечение. Для заказа лекарственных препаратов на дом можете воспользоваться услугами интернет-аптеки"" Примеры: |специализация врача|время назначения|дата назначения| |Гастроэнтеролог|15:30|13.02.2022| |Терапевт|18:00|20.05.2022|   |специализация| |Терапевт|","","","","",""

"User Story Map"
"Пройти обследование","","","","","",""
"Пройти медикаментозное лечение","","","","","",""
"Пройти диагностику","","","","","",""
"Получить результаты диагностики","","","","","",""
"Купить медикаменты","","","","","",""
"Получить назначение на обследование","","","","","",""
"Получить назначение на медикаментозное лечение","","","","","",""
"Как пациент, я хочу получить назначение на обследование на почту, чтобы не потерять бумажную выписку.","Примечание Тело письма необходимо согласовать с копирайтерами и юристами.   Критерии приемки: Назначенное обследование приходит на почту.Обследование приходит в течении 5 минут после назначения.Назначение приходит в формате PDF  Сценарий: Назначение на обследование приходит на почту. Дано пациенту необходимо обследование Когда врач назначил обследование Тогда назначение отправлено пациенту на почту   Сценарий: Обследование приходит в течении 5 минут после назначения. Когда врач назначил обследование Тогда назначение приходит пациенту на почту в течении 5 минут   Структура сценария: Назначение приходит в формате PDF Когда врач назначил обследование Тогда назначение приходит пациенту на почту в формате PDF И название файла ""Назначил <специализация врача> от <время назначения> <дата назначения>"" И  тема письма ""Назначение на обследование. <специализация>"" И тело письма  ""Здравствуйте! Направляем Вам назначение на обследование. Для прохождения обследования вы можете позвонить в нашу клинику"" Примеры: |специализация врача|время назначения|дата назначения| |Терапевт|15:30|13.02.2022| |Хирург|18:00|20.05.2022|   |специализация| |Хирург|   Ссылка на прототипы: https://www.figma.com/file/2qY9wSlZ5FjQKQHPP16wqJ/%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9-%D1%84%D0%B0%D0%B9%D0%BB-%D1%81-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF%D0%B0%D0%BC%D0%B8-%D0%92%D0%B5%D1%80%D1%81%D0%B8%D1%8F-1?type=design&node-id=0%3A1&mode=design&t=9Cmc19WZOWPOtlkn-1","","","","",""
